id_hash,title,summary,link,severity,longitude,latitude,scraped_at
11e916343dcef30916fe019c9b657966854311debc3fb828f6b2d6e14a7693ac,Venezuela calls Trump airspace closure warning 'colonialist threat',"US President Donald Trump said the airspace around Venezuela should be considered closed ""in its entirety"".",https://www.bbc.com/news/articles/c741mpdyw9no?at_medium=RSS&at_campaign=rss,2,-66.5897,6.4238,2025-11-29T21:40:42.199159+00:00
ac7974591a1d3ea8cf062076c1a9cd42bf92665c485773472d88cfad0b1c571c,Fall of Zelensky's top aide - reboot for Kyiv or costly shake-up?,"A widening corruption scandal forced Ukraine's second most powerful person, Andriy Yermak, to resign.",https://www.bbc.com/news/articles/cz0nljm4y74o?at_medium=RSS&at_campaign=rss,0,31.1656,48.3794,2025-11-29T21:40:42.199393+00:00
117cd4c236599e4b964fc7a1ca90736a422f7ab624e441bf87cef580794db3f1,Flights returning to normal after Airbus warning grounded planes,"Around 6,000 planes were affected after an issue that could corrupt data was discovered.",https://www.bbc.com/news/articles/c4gp9d28p74o?at_medium=RSS&at_campaign=rss,2,0.4481752,50.8350732,2025-11-29T21:40:43.651894+00:00
6ac6e4c4396e1752acc7a576763dbc26c9042e2239e1ffe53a218493c79866cd,"Russian strikes cause power outages for more than 600,000 in Ukraine",The overnight attack kills at least three and injures dozens more.,https://www.bbc.com/news/articles/cx2gylngx7go?at_medium=RSS&at_campaign=rss,4,105.3188,61.524,2025-11-29T21:40:43.652016+00:00
664ac87aa7d3614e0c2551effd2fc800f112b7b898ededc684f409541db3d6e1,Hungary's Orban defies EU partners and meets Putin again in Moscow,"Russia's leader praised what he called Orban's ""balanced position on the situation in Ukraine"".",https://www.bbc.com/news/articles/c058lny3pdqo?at_medium=RSS&at_campaign=rss,0,105.3188,61.524,2025-11-29T21:40:43.652098+00:00
07379c8474b84f4631588f1ea10fd33ffc739c0e3be3204a99923e45a399a8c2,"Guinea-Bissau coup was a sham, West African political figures say",Senegal's prime minister and Nigeria's former leader say they do not believe the military takeover was genuine.,https://www.bbc.com/news/articles/cz0nlxlr87go?at_medium=RSS&at_campaign=rss,0,-15.2351044,11.815215,2025-11-29T21:40:44.974851+00:00
437d696ae2da26725b70477a21a52ae3dda2c5fbb2c705158c5309ed878a35f1,US halts all asylum claim decisions after National Guard shooting,"The directive comes hours after Donald Trump said the US will pause migration from ""third-world countries"".",https://www.bbc.com/news/articles/cdxweyy157go?at_medium=RSS&at_campaign=rss,0,-3.1956117,55.950885,2025-11-29T21:40:46.399920+00:00
5e4a8043f9055110d3684e7fc3d8ce36afea33b4b6583b28da3d5e8f2d1a282b,Thirteen killed in deadliest Israeli raid for months in southern Syria,"Israel said it was targeting militants in the village of Beit Jinn, but Syria's foreign ministry condemns what it called a ""war crime"".",https://www.bbc.com/news/articles/cp89k31krz4o?at_medium=RSS&at_campaign=rss,4,34.8516,31.0461,2025-11-29T21:40:46.400028+00:00
2dfea47ed4a0fcb205149393e48a813d6798024790e5f670ee7e3fc72768244d,How Trump's pledge to tackle Sudan atrocities could play out,The war is being fuelled by regional powers and the US president may have some leverage over them.,https://www.bbc.com/news/articles/c1dz36ep673o?at_medium=RSS&at_campaign=rss,2,-88.4269462,44.9675818,2025-11-29T21:40:47.806971+00:00
43dcf346cb3581e2e51d57a7f3e5878ddfd03423fdaae97c96cf5c24d01af153,Watch: How the shooting of two National Guard members unfolded,The two soldiers are in critical condition after being attacked blocks from the White House in Washington DC.,https://www.bbc.com/news/videos/cly1k34y426o?at_medium=RSS&at_campaign=rss,2,-81.5908238,28.3622891,2025-11-29T21:40:49.371805+00:00
789b9a56b0ed0b9a9910f21bb481f8e33c512923a3cadb7179a37cf091814456,Why isn’t US media busting the ‘narco-state’ myth?,The US sabre-rattling against Venezuela shows how complicit the media can be in manufacturing a threat.,https://www.aljazeera.com/video/the-listening-post/2025/11/29/why-isnt-us-media-busting-the-narco-state-myth?traffic_source=rss,0,-66.5897,6.4238,2025-11-29T21:40:53.834348+00:00
a827ab9496a6948cd9c8d5a4ae7d1c4f8a0a973083d06e5f62b231a3fbd7e7fb,Russian strikes on Kyiv kill three as Ukraine envoys travel to US for talks,"Russian strikes on Kyiv kill three, injure dozens, as Ukraine seeks US support for a resolution to the war.",https://www.aljazeera.com/news/2025/11/29/russian-strikes-on-kyiv-kill-three-as-ukraine-envoys-travel-to-us-for-talks?traffic_source=rss,4,105.3188,61.524,2025-11-29T21:40:53.834403+00:00
5934e5eeb32fee4bd462eb44aa4af6c1de882e9faa2f52a496b3b462c4900822,LIVE: Donald Trump says Venezuela airspace now closed as tensions surge,No immediate response from Venezuela after President Trump’s makes the announcement on social media on Saturday.,https://www.aljazeera.com/news/liveblog/2025/11/29/live-donald-trump-says-venezuela-airspace-now-closed-as-tensions-surge?traffic_source=rss,0,-66.5897,6.4238,2025-11-29T21:40:53.834448+00:00
1acab8890cd845ebbf2bac3e783cfa8892d7ca47894958ba53814abcf66e8502,Venezuela denounces Trump’s airspace remarks as ‘colonialist threat’,Venezuelan Foreign Ministry slams US president&#039;s &#039;colonialist threat&#039; amid weeks of escalating rhetoric from Washington.,https://www.aljazeera.com/news/2025/11/29/trump-says-venezuela-airspace-to-be-shut-in-its-entirety-as-tensions-rise?traffic_source=rss,0,-66.5897,6.4238,2025-11-29T21:40:53.834497+00:00
99bdc20d1f4c5449975cc4c6712b1242c52e332f9ad8f02ced4632cafce97d6b,"Gaza death toll surpasses 70,000 as Israel keeps up attacks despite truce","Israeli drone attack kills two Palestinian children in southern Gaza, medics report, as humanitarian crisis deepens.",https://www.aljazeera.com/news/2025/11/29/israeli-attack-kills-two-children-in-southern-gaza-despite-ceasefire?traffic_source=rss,2,34.8516,31.0461,2025-11-29T21:40:53.834679+00:00
c84247e6c5cbae45b2b105e27356adc9434e68649f6cdf571f039e2022d66b5e,Sri Lanka seeks foreign help as Cyclone Ditwah death toll reaches 132,"Some 44,000 people displaced by flooding across the country as relief operations intensify amid widespread destruction.",https://www.aljazeera.com/news/2025/11/29/sri-lanka-seeks-foreign-help-as-cyclone-ditwah-death-toll-reaches-123?traffic_source=rss,0,80.7137847,7.5554942,2025-11-29T21:40:55.481785+00:00
b4bee390df59fea9337ca086de0639118322df1cea633989e739411f8b29f663,What we know about resignation of top Ukraine official,President Zelenskyy’s chief of staff has resigned after investigators searched his home amid a corruption scandal.,https://www.aljazeera.com/video/newsfeed/2025/11/29/what-we-know-about-resignation-of-top-ukraine-official?traffic_source=rss,0,31.1656,48.3794,2025-11-29T21:40:55.481938+00:00
f284e089b91fd60ae69f3f46817245dd0c60d6a6c0f56d09991df7eea42b1ade,Russia bans Human Rights Watch in widening crackdown on critics,Authorities also designate Anti-Corruption Foundation as &#039;terrorist&#039; group and consider total ban on WhatsApp.,https://www.aljazeera.com/news/2025/11/29/russia-outlaws-human-rights-watch-crackdown-critics-ukraine-war?traffic_source=rss,2,105.3188,61.524,2025-11-29T21:40:55.482029+00:00
206e3a24a066076ca353b7674df26c6f1952003c46f70fa2251791d7ed44b82b,Jacob Zuma’s daughter resigns amid claims South Africans tricked to fight for Russia,"<p>Duduzile Zuma-Sambudla quits as MP after being accused of recruiting 17 men who are trapped in war-torn Ukraine</p><p>A daughter of the former South African president Jacob Zuma has resigned as an MP, after being accused of tricking 17 South African men into fighting for Russia in Ukraine by telling them they were travelling to Russia to train as bodyguards for the Zumas’ uMkhonto weSizwe (MK) party.</p><p>Duduzile Zuma-Sambudla, 43, the most visible and active in politics of her siblings, volunteered to resign and step back from public roles while cooperating with a police investigation and working to bring the men home, the MK chair, Nkosinathi Nhleko, said at a <a href=""https://www.youtube.com/live/GTFwUyKTFD8"">press conference</a> in Durban.</p> <a href=""https://www.theguardian.com/world/2025/nov/28/jacob-zuma-daughter-resigns-claims-south-africans-tricked-fight-russia"">Continue reading...</a>",https://www.theguardian.com/world/2025/nov/28/jacob-zuma-daughter-resigns-claims-south-africans-tricked-fight-russia,2,105.3188,61.524,2025-11-29T21:40:56.072825+00:00
f32b354ebfb302287b0161eec7d4ad48c2774b7ae448443be96084836b3b8bab,Guinea-Bissau military takes ‘total control’ amid election chaos,"<p>Officers say they are closing borders and suspending poll as president and main rival both claim victory  </p><p>Soldiers in Guinea-Bissau have announced they are taking “total control” of the west African country, three days after elections that both the two main presidential contenders claim to have won.</p><p>Military officers said they were suspending Guinea-Bissau’s electoral process and closing its borders, in a statement read out at the army’s headquarters in the capital Bissau and broadcast on state TV. They said they had formed “the high military command for the restoration of order”, which would rule the country until further notice.</p> <a href=""https://www.theguardian.com/world/2025/nov/26/guinea-bissau-officers-take-total-control-close-borders-amid-election-chaos"">Continue reading...</a>",https://www.theguardian.com/world/2025/nov/26/guinea-bissau-officers-take-total-control-close-borders-amid-election-chaos,0,-15.2351044,11.815215,2025-11-29T21:40:57.558263+00:00
5211a54e522277512491379394b4d16fe2686335f167d7f0b0642ef970d5110a,Jacob Zuma’s daughter accused of tricking men into fighting for Russia in Ukraine,"<p>South African police investigate allegations made against Duduzile Zuma-Sambudla by another of ex-president’s daughters</p><ul><li><p><a href=""https://www.theguardian.com/world/live/2025/nov/25/us-russia-ukraine-peace-talks-abu-dhabi-kyiv-strikes-zelenskyy-putin-europe-live-news"">Europe live – latest updates</a></p></li></ul><p>South African police are investigating allegations that a daughter of the former president Jacob Zuma tricked men into fighting for Russia in Ukraine by telling them they were travelling to Russia for a paramilitary training course.</p><p>Another of Zuma’s daughters, Nkosazana Zuma-Mncube, filed a police report on Saturday alleging that her sister Duduzile Zuma-Sambudla and two others, Siphokazi Xuma and Blessing Khoza, had recruited 17 men who are now trapped on the frontlines of the war in Ukraine.</p> <a href=""https://www.theguardian.com/world/2025/nov/25/jacob-zuma-daughter-accused-tricking-men-fighting-for-russia-in-ukraine"">Continue reading...</a>",https://www.theguardian.com/world/2025/nov/25/jacob-zuma-daughter-accused-tricking-men-fighting-for-russia-in-ukraine,4,105.3188,61.524,2025-11-29T21:40:57.558490+00:00
4502a7aa9d21b91ee12e84ffb39827d56082f3b67f77ce4dc4473affaefd5341,Venezuela denounces ‘colonialist threat’ as Trump orders airspace closed,"<p>President made declaration in a social media post, after FAA last week warned airlines of ‘worsening security situation’</p><p>The Venezuelan government has responded defiantly to the heightened pressure by the US government, including Donald Trump’s recent statements on Saturday that the airspace above and surrounding Venezuela is to be closed in its entirety.</p><p>In a statement, the Venezuelan government said Trump’s comments are a “colonialist threat” against their sovereignty and violate international law. The government also said it demanded respect for its airspace and would not accept foreign orders or threats.</p> <a href=""https://www.theguardian.com/world/2025/nov/29/donald-trump-venezuela-airspace-closure"">Continue reading...</a>",https://www.theguardian.com/world/2025/nov/29/donald-trump-venezuela-airspace-closure,2,-66.5897,6.4238,2025-11-29T21:40:57.558575+00:00
b19707444fc50158020194d5f705f116a78febd1c1a3caf9336a7751d0d392c9,Pete Hegseth denies that he gave orders to ‘kill everybody’ on alleged ‘narco-boat’,"<p>Defense secretary called reports about his role in strike as ‘fake news’ intended to discredit US military</p><p>The US defense secretary, Pete Hegseth, has declared recent reporting that he may have illegally ordered all people to be killed in a military strike in the Caribbean as “fake news” on Friday evening, adding that the series of strikes of people on boats have been “lawful under both US and international law”.</p><p>Hegseth lambasted reports about his role in the strike as “fabricated, inflammatory and derogatory reporting to discredit our incredible warriors fighting to protect the homeland”.</p> <a href=""https://www.theguardian.com/us-news/2025/nov/29/pete-hegseth-denies-ordering-deaths-narco-boat"">Continue reading...</a>",https://www.theguardian.com/us-news/2025/nov/29/pete-hegseth-denies-ordering-deaths-narco-boat,6,22.7868212,47.8516184,2025-11-29T21:40:59.901494+00:00
b7b6cfb965bc6293ebd8408efa9f918d067f7dea6a175986348e34a6d7fa0575,UK MPs push for extra aid and visas as Jamaica reels from Hurricane Melissa,"<p>Dawn Butler leads calls for humanitarian visas and fee waivers for vulnerable relatives of UK nationals affected by storm</p><p>British MPs have joined campaigners calling for more aid and humanitarian visas for Jamaicans to enter the UK after Hurricane Melissa demolished parts of the country, plunging hundreds of thousands of people into a humanitarian crisis.</p><p>The UK has pledged £7.5m emergency funds to Jamaica and other islands affected by the hurricane, but many argue that the country has a moral obligation to do more for former Caribbean colonies.</p> <a href=""https://www.theguardian.com/world/2025/nov/29/uk-mps-extra-aid-humanitarian-visas-jamaica-hurricane-melissa-dawn-butler"">Continue reading...</a>",https://www.theguardian.com/world/2025/nov/29/uk-mps-extra-aid-humanitarian-visas-jamaica-hurricane-melissa-dawn-butler,0,-98.5795,39.8283,2025-11-29T21:40:59.901655+00:00
3d943cbf746bc9feebb2b4368ab0285e83eb14609eed3262f26cd9756f780898,"College student deported when flying home for Thanksgiving, despite court order","<p>Student ‘heartbroken’ after being sent to Honduras while trying to travel from Boston to Texas, attorney says</p><p>A college freshman trying to fly from Boston to Texas to surprise her family for Thanksgiving was instead deported to <a href=""https://www.theguardian.com/world/honduras"">Honduras</a> in violation of a court order, according to her attorney.</p><p>Any Lucia Lopez Belloza, 19, had already passed through security at <a href=""https://www.theguardian.com/us-news/boston"">Boston</a> Logan international airport on 20 November when she was told there was an issue with her boarding pass, said attorney Todd Pomerleau. The Babson College student was then detained by immigration officials and within two days sent to <a href=""https://www.theguardian.com/us-news/texas"">Texas</a> and then Honduras, the country she left at age seven.</p> <a href=""https://www.theguardian.com/us-news/2025/nov/28/college-student-deported-boston-flight-thanksgiving"">Continue reading...</a>",https://www.theguardian.com/us-news/2025/nov/28/college-student-deported-boston-flight-thanksgiving,0,-79.3827952,43.6606617,2025-11-29T21:41:01.448617+00:00
21413317ed5fb2a0feb3f2bd58bda2f77ee747540d826ffedb5632c0fc03da69,"At least 500 killed in south-east Asia floods and landslides, reports say","<p>More than 350 people killed on Indonesia’s Sumatra island with 162 reported dead across Thailand</p><p>The death toll from devastating floods and landslides in south-east Asia reportedly climbed past 500 on Saturday as clean-up and search-and-rescue operations got under way in Indonesia, Thailand and Malaysia.</p><p>Heavy monsoon rain overwhelmed swathes of the three countries this week, killing hundreds and leaving thousands stranded, many on rooftops awaiting rescue.</p> <a href=""https://www.theguardian.com/world/2025/nov/29/indonesia-and-thailand-flooding-death-toll-tops-350-as-rescuers-struggle-to-reach-worst-hit-areas"">Continue reading...</a>",https://www.theguardian.com/world/2025/nov/29/indonesia-and-thailand-flooding-death-toll-tops-350-as-rescuers-struggle-to-reach-worst-hit-areas,2,-98.5795,39.8283,2025-11-29T21:41:01.448776+00:00
c1420ac4f46b8f3175c020997a421d61ab4e544341566338ca83acb4d5838920,Bear attacks man in public toilet in Japan,"<p>Incident north of Tokyo comes after a record 13 deaths from bear attacks in Japan since the start of April</p><p>A man has been attacked by a bear in a public toilet in <a href=""https://www.theguardian.com/world/japan"">Japan</a>, local media reported on Friday – the latest in a <a href=""https://www.theguardian.com/world/2025/nov/06/japan-searching-for-cause-of-surge-of-bear-attacks"">record-breaking wave of attacks</a> this autumn, including those in populated areas.</p><p>The victim, a 69-year-old security guard, told police he had noticed the bear, which was 1-1.5 metres long, peering inside as he was about to leave the building in Gunma prefecture, north of Tokyo, in the early hours of Friday, Kyodo news agency and broadcaster NHK reported.</p> <a href=""https://www.theguardian.com/world/2025/nov/28/bear-attacks-man-public-toilet-japan"">Continue reading...</a>",https://www.theguardian.com/world/2025/nov/28/bear-attacks-man-public-toilet-japan,2,-3.3007868,48.6298618,2025-11-29T21:41:02.802352+00:00
8c9515485f2647e899ebc24bdc5f2a210fae7cf3e500a3eb8fca443ec8ac1d3e,New behaviour standards are in place for parliament but crossbenchers say question time still rife with bullying,"<p>Independent MP Zali Steggall says it’s not always clear who is behind disorderly behaviour – and sometimes it can be a whole section of a political party</p><ul><li><p>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">breaking news email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></p></li></ul><p>Sweeping behavioural standards have now been in place in Australia’s parliament for years, but crossbench MPs have warned question time is still rife with bullying and a “mob mentality” that needs to be stamped out.</p><p>Data obtained through the speaker’s office shows 21 MPs across the Coalition and Labor have been booted out of question time 31 times, under standing order 94a during the first six months of the 48th parliament.</p> <a href=""https://www.theguardian.com/australia-news/2025/nov/30/new-behaviour-standards-are-in-place-for-parliament-but-crossbenchers-say-question-time-still-rife-with-bullying"">Continue reading...</a>",https://www.theguardian.com/australia-news/2025/nov/30/new-behaviour-standards-are-in-place-for-parliament-but-crossbenchers-say-question-time-still-rife-with-bullying,2,6.4416347,51.1785153,2025-11-29T21:41:04.300618+00:00
